Name	Cost	Effect	Requirements
Ambush	1	When making Attack(Finesse) weapon attack against a target that does not see you or is otherwise unaware of your location/presence, you roll against your target's Intuition if it's lower that your target's Defence.	
Attractive	2	Your appearance is well above average for a member of your species. This may result in preferential treatment from some people and (wanted or unwanted) attention from others.	
Awareness	2	Once per turn you can spend 1 Movement point to make a Sight, Hearing or a Smell check	Senses 1
Blind sight	8	Due to tremor sense, echolocation or supernatural intuition, you are aware of any movement within 10 metres of you.	Senses 2
Blindness	-8	You are always considered Blinded	
Bloodlust	2	Whenever you bring an enemy to 0 HP you gain additional 2 Movement points to spend before the start of your next turn.	
Body size, Large	4	Like an ogre or a giant, your character is larger that an average adventurer. Your Build is increased by 2.	
Body size, Small	-2	Like a gnome or a goblin, your character is smaller that an average adventurer. Your Build is reduced by 2.	
Bodyguard	4	Your allies can use your Defence instead of theirs, provided you allow them to and they are within 1 metre distance from you.	
Brawler	2	Mundane objects like stones, chairs, shields or bottles become deadly weapons in your hands. You can use such items as Simple weapons, with other characteristics depending on the type of the item.	
Brutal attack	4	When making a Attack(any) check to inflict damage, you can forgo rolling one of the die rolled (except the d20). If the attack is successful, you then add that die to the damage roll.	
Careful aim	2	You can spend 2 movement points to take a careful aim before making a ranged weapon attack over the weapon's first range increment. Disadvantage from making a long ranged attack is then reduced by 1.	
Cavalry	2	You can fight while riding a creature trained as a combat mount without suffering any disadvantage because of it.	
Charge	2	On your first turn of combat you gain 3 additional Movement points that can only be used to move closer to a target you intend to attack.	
Cleave	4	Upon bringing an enemy down to 0 hit points with a melee weapon attack, you may immediately perform a second attack on another target within range. The second attack, if fatal, may lead to another cleave and so on.	
Code of conduct	-2	Your character is bound by a strict code of conduct (eg. they would never lie, even to save his life), straying from which would result in heavy consequences. (eg. losing a deity's favour, getting stripped from titles).	
Companion, extraordinary	8	You gain loyal service of an extraordinary NPC (a drake, an apprentice wizard). The character can be of level no higher than yours but can advance alongside you. The Game Master controls this character unless agreed otherwise.	Social 2
Companion, mundane	4	You gain loyal service of a mundane NPC (a tamed animal, a loyal squire). The character can be of level no higher than yours but can advance alongside you. The Game Master controls this character unless agreed otherwise.	Social 1
Counter attack	4	Whenever a creature targets you with an Attack(any) roll and fails, you gain Advantage x1 on the first Attack(any) roll you make against that creature on your next turn.	
Crippling attacks I/II/III	2/4/8	Once per turn an enemy you hit with a weapon attack has their Speed reduced by 1/2/3 until the start of your next turn.	
Critical I/II/III	2/4/8	You double the damage dice on a successful Attack(any) check if you roll a 20/19+/18+ on the d20 die.	Attack(any) 1/2/3
Dark vision	4	You suffer no negative effects from acting in low light.	Senses 1
Defensive reflexes	2	Whenever you or any creature within a metre of you is a target of a successful Attack(any) roll against it's Defence, you may forgo your next action to attempt to prevent the attack (eg. by a skillful parry or an acrobatic dodge). To do so make a Reflex check. Beating or matching the Attack roll nullifies it's effects.	Reflex 1
Deflection	4	After an unsuccessful weapon attack against you you may attempt to deflect the attack to another target. The attack can be either Precise or Forceful, it's range is 1 metre if the deflected attack is made with a melee weapon and 5 metres if it's made with a ranged weapon. The attack deals 1d6 damage or the weapon's damage, whichever is lower.	Agility 2
Devastation	4	Choose a type of damage. Whenever you deal damage of that type and any of the damage dice rolled results in it's maximum value, you may roll an additional die of that type and add it's result to the total. You may choose this feature multiple times, each time selecting a different type of damage.	
Energy conservation	4	After failing/missing when using an Extraordinary Ability, you retain half of the spent Extraordinary Points (rounded down).	Extraordinary 1
Energy shell	4	Whenever you take damage and have at least 1 Energy point left, you can decide to absorb the damage taken into your Energy point pool. You then lose Energy points in the place of Hit points. Any damage exceeding your current Energy is still deducted from your Hit points.	Extraordinary 2
Extra set of arms	8	You gain an extra set of arms that can be used to hold and use weapons and other items.	
Extra set of legs	4	Your Speed is increased by 1 and any attempts to knock your prone are made with disadvantage.	
Fast climbing	2	Spending a Movement point to climb now allows you to travel 1 metre instead of 0.5.	Superior climbing feature
Fast crawling/sneaking	2	Spending a Movement point to crawl/sneak now allows you to travel 1 metre instead of 0.5.	Superior crawling/sneaking feature
Fast swimming	2	Spending a Movement point to swim now allows you to travel 1 metre instead of 0.5.	Superior swimming feature
Feint	4	You can spend 2 movement points to perform a feinting maneuver against your target. Successful Deception vs Intuition check grants you advantage on your next melee Attack(any) roll against that target made before the end of your turn. Enemies that don't rely on sight are immune to this effect.	
Frail I/II/III	-2/-4/-8	Your maximum number of Hit points is reduced by 2/4/6.	
